"","s1","genes"
"HSD17B11",0.999622756591045,"HSD17B11"
"ASPH",0.405319554292525,"ASPH"
"COLGALT2",0.592682329208823,"COLGALT2"
"BRINP2",0.911648389858793,"BRINP2"
"OSTC",-0.334105048551092,"OSTC"
"INF2",0.467207889363139,"INF2"
"AKT1S1",0.230552709365718,"AKT1S1"
"SLC35B4",0.192190619776075,"SLC35B4"
"ZBTB10",-0.387583958228244,"ZBTB10"
"TMEM200C",1.26557881779086,"TMEM200C"
"DIO2",0.148401901946191,"DIO2"
"NCKIPSD",0.910142596752763,"NCKIPSD"
"SLC35F6",0.794847094270342,"SLC35F6"
"NEURL1B",0.140116643170289,"NEURL1B"
"STARD10",0.737645554451442,"STARD10"
"EML6",0.117288573663804,"EML6"
"ZGLP1",-0.0661789577004945,"ZGLP1"
"BTBD19",-1.39862621888526,"BTBD19"
"MCTS1",-0.47012611878473,"MCTS1"
"ANKRD65",2.30032920501321,"ANKRD65"
"ARHGDIG",0.943134206027666,"ARHGDIG"
"AP5Z1",-0.174107204028657,"AP5Z1"
"TTC4",2.34355992188675,"TTC4"
"HS3ST5",-0.310227717099644,"HS3ST5"
"ALG11",-0.00554002856861004,"ALG11"
"AP5B1",0.251534061341466,"AP5B1"
"EGLN2",0.604940539773681,"EGLN2"
"KMT2B",-0.0948626660863508,"KMT2B"
"TMEM54",1.08571270818871,"TMEM54"
"G0S2",0.0637464308506814,"G0S2"
"WFIKKN1",-0.525573149380268,"WFIKKN1"
"DMGDH",1.1223141063314,"DMGDH"
"SLC47A1",0.0952745085797035,"SLC47A1"
"STEAP2",0.93301598541267,"STEAP2"
"CYB5R2",-0.409012024421581,"CYB5R2"
"DNAJC22",1.27326537279439,"DNAJC22"
"HMX1",-0.00463658377896292,"HMX1"
"ACY1",-1.16859526427728,"ACY1"
"HSPB6",0.481147112709833,"HSPB6"
"LRAT",-0.100801481867661,"LRAT"
"ARHGAP22",0.0247730650901414,"ARHGAP22"
"MGARP",2.85499066251187,"MGARP"
"ZNF185",-1.82222971528747,"ZNF185"
"SLC6A9",-0.155016388060156,"SLC6A9"
"AMIGO2",-2.03414603048557,"AMIGO2"
"USP43",0.857133780668867,"USP43"
"IL34",0.607273735062975,"IL34"
"DYNLRB2",-0.328522367131889,"DYNLRB2"
"VMO1",3.34003226147111,"VMO1"
"ELF3",-1.53475990871081,"ELF3"
"SLC18A2",-0.00758560669350061,"SLC18A2"
"MYOZ1",-1.01224426689005,"MYOZ1"
